area_sqft,num_rooms,space_type,style,material,add_3d,add_turnkey,add_smart_home,final_cost
3319,3,residential,scandinavian,standard,0,0,0,3982800
1119,10,residential,modern,custom_wood,0,0,0,1790400
1595,5,hospitality,modern,italian_marble,0,1,0,3401649
2539,6,residential,japandi,premium_tiles,1,1,1,3697650
1336,5,commercial,royal,italian_marble,1,0,1,3296240
2108,6,residential,scandinavian,custom_wood,0,1,0,3472800
2961,6,hospitality,modern,standard,0,0,0,4086179
3408,5,commercial,royal,premium_tiles,0,1,1,6865600
2557,7,residential,contemporary,standard,0,1,0,3168400
3195,4,hospitality,scandinavian,premium_tiles,0,1,1,5731375
1805,10,residential,scandinavian,standard,0,0,0,2166000
1992,8,commercial,royal,premium_tiles,1,0,1,4054400
2320,9,residential,contemporary,premium_tiles,0,1,1,3700000
3090,8,commercial,minimalist,premium_tiles,1,0,0,4685000
1149,4,hospitality,minimalist,custom_wood,0,1,1,2150320
3140,9,hospitality,contemporary,italian_marble,0,1,1,6719799
1156,6,commercial,minimalist,custom_wood,0,1,0,1949600
2779,3,hospitality,contemporary,premium_tiles,0,1,0,4893775
2909,10,residential,modern,standard,1,0,0,3540800
2186,6,residential,royal,premium_tiles,0,0,1,4054800
983,10,residential,minimalist,custom_wood,0,1,1,1635520
1567,10,hospitality,scandinavian,premium_tiles,1,1,1,2973075
2494,10,commercial,royal,premium_tiles,0,0,1,4983300
786,10,residential,modern,premium_tiles,0,0,0,1179000
1637,3,residential,japandi,standard,0,0,1,1887960
3440,9,residential,modern,premium_tiles,1,0,1,5330000
2367,5,residential,royal,custom_wood,1,1,1,4814640
2612,2,hospitality,scandinavian,italian_marble,0,1,1,5626840
1147,5,residential,minimalist,custom_wood,0,1,0,1751680
1840,9,residential,japandi,italian_marble,1,0,0,3030800
3371,10,residential,royal,premium_tiles,0,1,1,6287800
2671,5,commercial,royal,premium_tiles,1,0,1,5378450
1786,9,commercial,traditional,custom_wood,0,0,1,3834880
1591,2,hospitality,scandinavian,italian_marble,1,0,0,3343369
3092,9,hospitality,japandi,premium_tiles,0,0,0,4869900
980,3,hospitality,japandi,premium_tiles,1,0,0,1593500
3071,2,hospitality,royal,custom_wood,1,1,0,6783359
3443,7,residential,contemporary,custom_wood,0,1,1,5728800
1995,3,residential,traditional,italian_marble,0,0,1,4429200
1242,7,residential,minimalist,standard,1,0,1,1511360
2925,6,hospitality,japandi,italian_marble,1,0,0,5578250
1783,3,residential,scandinavian,premium_tiles,1,1,0,2824500
2104,5,hospitality,scandinavian,standard,1,1,0,3053520
1078,8,commercial,royal,italian_marble,1,0,1,2692520
1361,9,hospitality,scandinavian,custom_wood,0,0,0,2504240
1310,10,residential,japandi,standard,0,1,0,1514800
871,6,commercial,japandi,italian_marble,1,0,0,1617800
3431,3,commercial,japandi,custom_wood,0,0,0,5489600
1425,8,residential,minimalist,standard,1,0,1,1709000
1352,3,commercial,japandi,italian_marble,1,0,0,2483600
2585,7,commercial,japandi,premium_tiles,0,0,0,3877500
2332,7,commercial,japandi,italian_marble,1,1,1,4467600
3483,10,commercial,royal,italian_marble,1,0,1,8320220
856,3,hospitality,traditional,standard,1,1,0,1536719
2277,5,commercial,royal,custom_wood,0,0,1,4856160
2466,3,hospitality,contemporary,standard,0,1,1,3623079
3431,8,commercial,traditional,standard,0,0,1,5472360
3423,8,hospitality,scandinavian,premium_tiles,1,1,0,6054675
1944,6,residential,traditional,standard,1,1,1,3069360
3467,5,hospitality,traditional,premium_tiles,0,1,1,7240674
1082,5,hospitality,contemporary,premium_tiles,0,0,0,1866449
889,5,commercial,modern,italian_marble,1,1,0,1910220
2272,9,commercial,minimalist,premium_tiles,0,0,1,3528000
1596,4,hospitality,modern,custom_wood,0,0,0,2936640
2569,4,commercial,scandinavian,standard,1,1,1,3661080
1351,9,commercial,contemporary,premium_tiles,1,1,0,2379150
1824,9,residential,scandinavian,standard,0,1,1,2408800
2009,10,residential,minimalist,premium_tiles,0,1,0,2812150
1576,3,commercial,traditional,standard,1,1,0,2608560
1547,8,commercial,japandi,italian_marble,1,1,0,2934600
2140,6,commercial,japandi,custom_wood,0,1,0,3524000
1817,8,commercial,royal,custom_wood,1,1,0,3929360
2614,4,hospitality,modern,italian_marble,1,0,0,5460980
3332,8,residential,japandi,custom_wood,0,0,1,4918080
2252,7,residential,traditional,standard,1,1,1,3512880
2426,6,residential,traditional,italian_marble,0,1,0,5340160
3362,3,hospitality,royal,italian_marble,0,0,0,8169659
3244,4,residential,minimalist,custom_wood,0,0,1,4791360
1749,7,residential,modern,italian_marble,0,1,0,3248200
3070,2,commercial,modern,custom_wood,1,0,0,5453200
3125,5,residential,scandinavian,standard,0,0,1,3870000
2882,8,hospitality,contemporary,italian_marble,1,0,1,6135740
2707,3,commercial,contemporary,custom_wood,0,1,0,4864320
2837,6,hospitality,japandi,custom_wood,1,1,1,5036160
2020,5,residential,contemporary,custom_wood,0,1,1,3452000
2077,2,commercial,japandi,standard,0,1,0,2592400
2153,6,commercial,contemporary,standard,0,0,0,2841960
1688,8,commercial,modern,premium_tiles,1,1,1,3055200
770,3,commercial,minimalist,custom_wood,0,1,1,1452000
2638,10,hospitality,contemporary,custom_wood,1,1,1,5123920
1809,6,commercial,minimalist,italian_marble,0,1,0,3356200
2894,4,residential,minimalist,custom_wood,1,1,0,4317360
1495,6,residential,contemporary,premium_tiles,1,0,0,2292500
1823,2,residential,modern,standard,0,1,0,2287600
750,6,commercial,traditional,custom_wood,1,0,0,1610000
1734,9,residential,japandi,italian_marble,1,1,0,2959080
3063,2,residential,minimalist,standard,0,0,0,3308040
2985,8,hospitality,modern,premium_tiles,1,1,1,5419125
1917,8,commercial,modern,italian_marble,0,0,0,3795660
1783,3,residential,minimalist,premium_tiles,0,0,0,2407050
2373,9,hospitality,modern,custom_wood,1,0,0,4416320
1880,6,hospitality,japandi,custom_wood,0,0,1,3278400
3260,5,commercial,royal,premium_tiles,0,1,0,6457000
992,2,residential,japandi,standard,1,1,0,1221360
2619,6,hospitality,traditional,standard,1,1,0,4392780
3149,2,commercial,scandinavian,standard,1,0,0,4206680
1637,2,hospitality,japandi,standard,0,0,1,2182620
2825,9,commercial,minimalist,custom_wood,1,0,1,4690000
2125,8,commercial,contemporary,italian_marble,0,1,1,4427500
2729,6,hospitality,traditional,italian_marble,1,0,1,6801469
1733,7,residential,japandi,custom_wood,0,1,1,2715520
922,5,hospitality,contemporary,custom_wood,1,0,0,1746479
1793,10,residential,contemporary,custom_wood,1,0,0,2918800
3280,5,hospitality,minimalist,standard,0,1,0,4232800
1620,3,commercial,royal,premium_tiles,1,1,1,3429000
2401,9,commercial,minimalist,custom_wood,0,1,0,3941600
3155,10,hospitality,minimalist,italian_marble,1,1,1,6232950
2779,6,residential,contemporary,standard,1,0,1,3504800
2906,9,commercial,contemporary,custom_wood,1,1,0,5264560
1678,8,residential,japandi,custom_wood,0,1,1,2636320
2261,8,hospitality,japandi,premium_tiles,1,0,0,3611075
2757,7,residential,japandi,custom_wood,0,1,0,4070080
1290,8,hospitality,minimalist,italian_marble,1,1,1,2708100
3252,8,hospitality,royal,standard,1,1,1,5538239
2916,2,hospitality,royal,premium_tiles,1,0,0,5954899
2477,3,hospitality,scandinavian,italian_marble,1,0,1,5297390
818,2,commercial,japandi,italian_marble,1,1,1,1742400
2464,4,residential,modern,custom_wood,0,0,0,3942400
1023,8,hospitality,scandinavian,premium_tiles,1,0,0,1814674
2588,6,commercial,contemporary,italian_marble,1,1,0,5274240
1002,9,commercial,modern,standard,1,1,1,1592640
1937,5,commercial,japandi,custom_wood,0,0,1,3219200
3042,7,hospitality,contemporary,standard,0,1,1,4417960
733,2,hospitality,scandinavian,custom_wood,1,0,1,1518720
1597,5,hospitality,contemporary,premium_tiles,0,0,1,2874825
2505,2,hospitality,contemporary,premium_tiles,0,1,1,4541125
2401,4,residential,minimalist,standard,1,0,1,2763080
2673,6,hospitality,japandi,standard,0,1,0,3467980
1276,5,hospitality,scandinavian,custom_wood,1,0,1,2517840
757,6,hospitality,royal,custom_wood,1,1,1,1905119
3315,7,residential,scandinavian,premium_tiles,1,0,1,5142500
3198,5,hospitality,royal,custom_wood,1,1,0,7057679
1272,2,residential,contemporary,custom_wood,0,0,0,2035200
2901,4,commercial,traditional,standard,1,0,1,4695560
3382,3,commercial,modern,custom_wood,1,0,1,6122320
1589,9,commercial,minimalist,standard,0,1,1,2126800
948,8,commercial,minimalist,italian_marble,1,0,0,1756400
3328,2,residential,japandi,standard,0,0,0,3594240
981,10,residential,modern,premium_tiles,0,1,0,1571500
3141,2,commercial,japandi,premium_tiles,0,1,0,4811500
1150,2,residential,royal,standard,0,1,0,1756000
1413,6,residential,minimalist,custom_wood,0,0,1,2154720
2536,7,hospitality,modern,italian_marble,1,0,0,5299520
3398,10,commercial,traditional,italian_marble,0,1,1,8171320
2446,3,commercial,scandinavian,custom_wood,0,0,1,4424960
3191,4,residential,minimalist,standard,1,1,1,3716280
2558,10,hospitality,traditional,italian_marble,0,0,1,6335939
2549,5,commercial,contemporary,custom_wood,1,1,0,4636240
1980,8,commercial,scandinavian,standard,1,0,1,2783600
974,3,residential,royal,custom_wood,0,1,0,1970080
2978,2,hospitality,modern,standard,0,1,1,4329640
3425,8,hospitality,royal,standard,1,1,0,5698499
3067,10,residential,minimalist,custom_wood,0,0,1,4536480
2978,7,residential,japandi,standard,0,1,0,3316240
3194,6,residential,minimalist,standard,1,1,1,3719520
725,4,residential,modern,custom_wood,0,0,0,1160000
1075,10,residential,traditional,custom_wood,1,1,0,2214000
2215,6,hospitality,contemporary,italian_marble,0,0,0,4585050
3230,2,hospitality,royal,standard,1,1,1,5502599
3186,9,commercial,contemporary,premium_tiles,0,1,1,5476900
1154,6,hospitality,scandinavian,custom_wood,1,0,0,2173360
2318,2,residential,minimalist,standard,0,0,1,2623440
1885,7,residential,royal,custom_wood,1,0,0,3669200
2257,10,hospitality,minimalist,standard,0,1,0,2943820
2486,2,commercial,royal,standard,1,1,1,4148160
1885,3,commercial,royal,standard,0,1,1,3160600
1060,8,residential,minimalist,custom_wood,1,0,1,1696400
1970,7,residential,contemporary,premium_tiles,0,0,0,2955000
2131,7,hospitality,japandi,premium_tiles,0,0,0,3356325
1748,5,residential,modern,premium_tiles,0,0,1,2742000
2600,9,hospitality,modern,standard,1,0,1,3757999
979,9,commercial,scandinavian,standard,1,0,1,1462280
2778,3,commercial,traditional,custom_wood,0,0,1,5898240
1875,3,hospitality,japandi,italian_marble,1,1,0,3693750
2542,5,commercial,modern,custom_wood,0,0,1,4593920
1123,7,hospitality,royal,premium_tiles,0,0,1,2394075
2499,10,hospitality,modern,premium_tiles,1,1,1,4580775
2286,8,commercial,scandinavian,italian_marble,1,0,1,4696280
1087,10,hospitality,traditional,standard,1,0,1,1930939
1033,4,commercial,contemporary,custom_wood,0,0,1,1938080
2989,8,hospitality,japandi,standard,0,0,1,3886140
2782,7,residential,contemporary,standard,0,0,1,3458400
2691,5,residential,minimalist,premium_tiles,0,1,0,3732850
2779,10,hospitality,modern,italian_marble,1,0,1,5922530
1331,4,residential,japandi,premium_tiles,1,0,1,1966850
2192,5,commercial,modern,standard,1,0,0,2943440
1967,9,residential,contemporary,custom_wood,1,1,1,3417200
2759,10,commercial,minimalist,premium_tiles,0,1,0,4238500
3326,9,commercial,modern,italian_marble,0,1,0,6685480
1356,6,commercial,modern,premium_tiles,1,0,0,2287400
2547,7,residential,traditional,italian_marble,1,1,0,5651520
2281,3,commercial,minimalist,italian_marble,1,0,1,4275800
1298,4,residential,contemporary,custom_wood,0,1,1,2296800
3220,2,residential,royal,standard,0,0,1,4756800
1155,6,residential,contemporary,italian_marble,0,0,1,2199000
3317,9,residential,royal,custom_wood,0,0,0,6368640
1893,8,residential,modern,standard,0,1,0,2371600
3421,3,hospitality,contemporary,italian_marble,0,1,1,7301469
878,8,commercial,contemporary,italian_marble,1,0,1,1908440
1687,3,hospitality,scandinavian,standard,0,0,1,2448060
2936,7,hospitality,minimalist,custom_wood,1,0,0,4982480
958,9,residential,contemporary,premium_tiles,0,0,0,1437000
1992,6,hospitality,traditional,custom_wood,1,0,0,4352720
1871,7,residential,japandi,standard,1,0,1,2190680
2489,8,hospitality,traditional,custom_wood,1,0,1,5546239
2737,7,hospitality,contemporary,italian_marble,1,0,1,5835590
3167,4,hospitality,contemporary,standard,0,0,1,4490460
3407,6,commercial,traditional,custom_wood,0,1,1,7306560
2531,2,hospitality,japandi,standard,1,1,0,3339060
1007,8,commercial,modern,premium_tiles,0,0,1,1781550
842,4,residential,minimalist,standard,1,1,0,1059360
3178,4,hospitality,traditional,standard,1,1,0,5298359
3050,4,hospitality,contemporary,custom_wood,1,1,0,5762000
1164,2,hospitality,minimalist,custom_wood,1,0,1,2125520
1766,9,residential,modern,standard,1,0,0,2169200
1255,3,commercial,minimalist,custom_wood,0,1,1,2228000
965,10,hospitality,contemporary,standard,0,0,1,1451700
2783,5,residential,minimalist,premium_tiles,0,1,0,3857050
2178,10,hospitality,contemporary,custom_wood,0,0,0,4007519
1966,8,hospitality,scandinavian,custom_wood,1,1,0,3767439
1213,7,hospitality,royal,custom_wood,1,1,0,2770079
2958,4,residential,traditional,italian_marble,0,0,1,6509280
1374,4,commercial,scandinavian,premium_tiles,1,1,0,2417100
1726,5,hospitality,modern,standard,0,1,0,2481880
2758,4,hospitality,modern,premium_tiles,0,1,0,4857550
816,3,residential,scandinavian,standard,0,1,0,1079200
2739,10,commercial,scandinavian,standard,1,0,1,3785480
1918,9,residential,scandinavian,italian_marble,0,1,1,3672400
2683,9,residential,contemporary,premium_tiles,1,1,1,4294500
2333,4,commercial,modern,italian_marble,1,0,1,4789340
1201,6,commercial,minimalist,premium_tiles,0,0,1,1921500
2273,8,residential,japandi,premium_tiles,1,1,0,3218550
1352,9,hospitality,traditional,custom_wood,1,1,0,3070319
